road,tract
0,1
0,1
1,1
2,2
1,1
3,3
3,3
3,3
4,3
5,2
6,3
8,4
9,4
9,4
3,3
10,4
3,3
11,4
3,3
3,3
3,3
2,5
2,5
3,3
2,5
2,5
3,3
6,3
12,6
13,6
13,7
13,7
14,7
15,9
15,9
13,7
15,9
11,11
17,9
18,11
15,8
11,11
19,5
20,12
19,13
20,12
16,9
22,14
3,3
22,15
22,15
3,3
22,15
3,3
3,3
23,15
25,15
3,3
25,15
3,3
3,3
26,15
6,3
4,3
3,3
25,16
25,16
25,16
27,16
6,3
25,6
15,9
25,6
15,9
22,6
28,6
16,9
6,3
29,6
29,6
29,6
15,9
15,9
29,6
15,9
15,9
15,9
17,9
15,8
15,8
30,8
30,17
31,18
31,18
31,18
32,17
33,19
32,17
35,19
36,19
36,19
38,19
15,9
41,19
42,19
15,9
15,9
17,9
15,8
43,18
15,8
30,11
43,0
44,20
43,0
45,20
15,20
43,0
43,0
43,1
43,1
43,1
46,20
46,20
46,17
3,3
3,3
36,1
25,14
40,14
3,3
25,14
40,14
3,3
3,3
3,3
6,3
15,9
0,3
3,3
3,3
0,3
0,3
47,3
0,22
36,1
0,1
0,1
48,1
1,1
1,1
1,1
1,1
49,1
1,1
1,1
6,3
6,3
6,8
6,8
6,8
6,8
49,14
49,14
50,1
49,1
49,1
49,1
15,9
51,4
51,4
6,3
6,3
9,4
52,19
39,19
53,4
40,19
54,4
54,4
41,19
56,19
42,19
43,18
43,18
54,4
11,4
43,18
43,18
57,0
43,0
43,0
51,4
43,0
58,9
59,4
58,4
43,0
43,0
0,1
43,1
43,1
58,4
58,4
60,1
58,4
43,1
49,14
40,14
36,14
9,4
40,14
36,14
61,4
36,14
40,14
36,14
36,14
62,14
7,4
9,4
36,14
36,24
11,4
36,24
10,4
36,24
15,9
40,24
36,24
15,9
36,24
15,9
36,24
15,9
63,26
36,24
63,26
64,27
65,28
63,26
15,9
66,29
63,27
66,29
63,27
66,29
67,29
63,30
36,28
63,29
69,28
14,7
63,5
63,5
68,28
70,5
15,9
16,9
17,9
63,2
5,2
15,8
15,8
15,8
5,2
30,8
30,17
71,2
5,2
32,17
32,17
66,26
63,27
66,27
63,27
63,27
72,14
49,14
48,14
73,2
74,2
73,2
72,14
49,14
75,2
35,14
74,2
76,17
49,14
49,1
66,2
66,2
66,2
66,2
66,2
77,2
78,2
63,2
63,2
63,2
63,2
63,2
49,1
79,1
71,2
5,2
5,2
81,2
5,2
1,1
80,2
71,2
71,2
2,2
82,0
83,0
35,14
35,14
25,14
40,14
85,1
86,0
87,0
35,14
35,14
87,0
87,0
88,21
88,21
35,24
35,24
88,0
35,24
35,24
90,0
91,24
35,24
35,24
92,32
51,1
51,1
35,24
51,0
92,33
92,33
85,1
35,24
35,24
51,0
92,33
93,24
35,24
93,24
86,0
94,29
95,31
63,26
92,29
63,26
54,31
96,29
97,31
54,31
98,29
63,26
66,29
67,29
66,29
99,29
63,30
54,31
36,18
100,18
72,18
36,18
3,3
100,18
72,0
36,0
43,0
35,0
54,21
3,3
43,0
35,0
35,0
3,3
35,0
3,3
43,0
4,3
43,0
6,3
6,3
102,0
6,3
43,0
6,3
43,0
35,1
43,1
35,1
43,1
35,1
3,3
35,1
15,9
15,9
35,14
35,14
25,14
72,14
35,14
35,14
42,35
103,36
103,36
103,36
3,3
42,35
3,3
105,37
97,3
103,37
42,35
3,3
103,38
95,31
103,38
88,21
103,38
88,21
88,21
106,38
3,21
3,3
3,3
3,3
42,35
42,35
3,3
95,31
30,39
107,39
108,40
108,40
54,31
108,40
103,40
54,21
102,21
103,40
54,21
3,3
103,36
0,3
105,37
103,37
54,21
103,38
3,3
54,21
103,38
102,21
30,21
109,38
102,21
30,21
110,41
110,41
111,41
112,41
113,41
47,21
108,40
0,22
108,40
108,40
82,1
82,1
82,1
114,40
108,40
89,1
108,40
89,1
89,1
79,1
115,41
116,42
89,1
113,42
113,41
113,41
108,41
89,1
112,41
87,1
112,41
49,43
112,41
117,41
112,41
104,41
118,44
112,41
49,43
85,1
112,41
49,43
104,41
104,41
120,45
119,45
119,45
112,41
120,45
120,45
112,41
112,44
112,44
120,45
120,0
120,45
121,0
122,44
122,44
122,44
122,44
114,44
122,46
122,46
122,46
122,46
120,45
106,38
122,46
103,38
120,45
120,45
121,0
103,38
103,38
120,45
123,45
122,48
120,45
120,45
122,48
122,48
120,45
122,48
120,45
122,49
124,47
82,1
125,39
122,49
122,49
82,1
30,31
82,1
30,31
82,0
30,31
30,31
85,1
30,31
82,0
86,0
86,0
126,0
86,0
86,0
86,0
30,21
30,21
30,21
86,0
30,21
30,21
30,21
30,21
86,0
30,21
86,0
51,1
51,1
127,1
30,22
30,22
30,22
30,22
30,22
30,22
30,22
30,22
30,22
51,1
51,1
128,1
6,8
51,1
51,1
51,1
1,1
82,1
30,8
30,17
11,11
49,14
25,14
49,14
129,14
40,14
48,14
36,14
49,14
129,14
50,1
45,50
49,1
130,50
129,14
36,14
49,1
130,50
129,14
130,15
130,15
36,14
40,14
15,15
36,14
62,14
131,6
25,6
62,14
62,14
36,14
22,6
132,6
132,6
36,14
133,6
133,6
40,24
40,24
36,24
40,24
40,24
36,24
40,24
40,24
40,24
40,28
40,51
133,6
13,7
14,7
63,5
40,52
40,52
134,52
135,52
136,52
13,7
13,7
137,52
36,52
138,7
139,52
139,52
139,52
5,2
5,2
140,52
141,52
141,52
141,52
71,2
141,52
2,2
141,52
2,5
2,5
142,53
92,33
35,24
35,24
92,33
93,24
35,24
93,24
143,13
143,12
35,24
92,29
143,13
92,29
35,28
92,54
35,28
35,55
5,5
92,51
35,51
2,5
92,51
63,2
63,2
63,2
63,2
63,2
63,2
71,2
144,51
71,2
92,51
5,2
92,56
92,56
92,56
63,7
13,7
66,5
66,5
145,51
63,5
146,56
66,5
66,5
92,57
92,57
73,2
74,2
74,2
74,2
73,2
73,2
92,57
40,52
66,5
139,52
139,57
66,2
72,1
74,2
66,2
51,1
51,1
51,1
72,1
128,1
51,1
66,2
66,2
66,2
66,2
66,2
66,2
66,2
66,2
66,2
66,2
66,2
63,2
77,2
76,17
35,14
147,2
81,2
35,14
92,17
148,26
66,26
22,14
27,26
66,26
66,26
35,14
35,14
92,32
35,24
92,32
35,24
98,29
66,26
92,32
149,6
67,29
35,24
66,29
63,30
63,27
66,27
35,24
67,29
35,24
82,1
89,1
66,29
66,29
79,1
150,27
66,27
66,29
67,29
99,29
89,1
63,30
63,30
66,7
63,7
89,1
89,43
152,43
89,43
82,1
82,1
153,32
153,32
92,32
76,21
72,0
72,0
72,0
72,0
0,22
0,1
0,1
35,0
36,1
76,22
76,22
76,22
0,1
0,1
72,1
72,1
72,1
48,1
76,17
76,17
76,17
1,1
45,17
154,15
35,15
82,1
155,3
35,14
35,14
156,3
15,9
92,32
58,9
58,9
58,9
156,3
58,9
58,9
58,9
58,9
58,9
58,9
103,36
58,9
58,4
58,4
3,3
0,3
0,3
47,3
157,35
157,35
18,60
158,35
158,35
158,35
158,35
75,23
158,35
159,39
30,39
107,39
58,4
59,4
160,23
76,39
76,39
160,23
161,23
76,39
76,39
160,23
76,31
58,4
76,31
76,31
72,0
72,0
76,31
76,31
162,31
58,23
58,23
18,23
105,37
103,37
58,23
103,38
58,23
103,38
163,62
163,61
163,61
103,38
163,61
163,61
106,38
164,60
103,38
164,60
165,60
103,38
122,48
164,60
164,23
122,48
166,23
122,48
166,23
122,48
75,23
122,48
122,48
122,48
122,49
58,4
11,4
122,49
58,23
122,49
122,49
58,23
58,31
58,31
58,63
58,63
58,31
167,23
58,63
58,31
58,63
58,63
75,23
168,63
54,31
58,21
54,31
54,31
88,21
58,9
58,9
58,9
3,3
3,3
97,31
97,31
58,9
97,31
169,21
97,21
97,21
170,3
58,9
0,3
0,3
0,3
3,3
3,3
97,21
3,3
97,21
3,3
97,21
3,3
97,3
3,3
97,3
3,3
97,3
0,22
97,3
0,22
97,3
35,0
97,3
97,3
4,3
51,1
51,1
51,1
122,48
51,1
122,48
171,49
89,1
89,1
122,49
125,49
122,49
89,1
